2015-03-12 13:58:05,564 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/apache/httpcomponents/httpclient/4.2.6/httpclient-4.2.6.pom
2015-03-12 13:58:05,956 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/apache/httpcomponents/httpclient/4.2.6/httpclient-4.2.6.pom
2015-03-12 13:58:06,304 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/apache/httpcomponents/httpclient/4.2.6/httpclient-4.2.6.pom
2015-03-12 13:58:06,696 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/apache/httpcomponents/httpcomponents-client/4.2.6/httpcomponents-client-4.2.6.pom
2015-03-12 13:58:07,086 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/apache/httpcomponents/httpcomponents-client/4.2.6/httpcomponents-client-4.2.6.pom
2015-03-12 13:58:07,432 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/apache/httpcomponents/httpcomponents-client/4.2.6/httpcomponents-client-4.2.6.pom
2015-03-12 13:58:07,837 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/apache/httpcomponents/httpcore/4.2.5/httpcore-4.2.5.pom
2015-03-12 13:58:08,225 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/apache/httpcomponents/httpcore/4.2.5/httpcore-4.2.5.pom
2015-03-12 13:58:08,576 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/apache/httpcomponents/httpcore/4.2.5/httpcore-4.2.5.pom
2015-03-12 13:58:08,971 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/apache/httpcomponents/httpcomponents-core/4.2.5/httpcomponents-core-4.2.5.pom
2015-03-12 13:58:09,349 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/apache/httpcomponents/httpcomponents-core/4.2.5/httpcomponents-core-4.2.5.pom
2015-03-12 13:58:09,695 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/apache/httpcomponents/httpcomponents-core/4.2.5/httpcomponents-core-4.2.5.pom
2015-03-12 13:58:10,130 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://artifactory.1and1.org/artifactory/one-and-one-releases-virtual/org/jboss/resteasy/resteasy-spring/3.0.10.Final/resteasy-spring-3.0.10.Final.pom
2015-03-12 13:58:10,514 [Worker-13] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://artifactory.1and1.org/artifactory/ext-releases-virtual/org/jboss/resteasy/resteasy-spring/3.0.10.Final/resteasy-spring-3.0.10.Final.pom
